frame,class,id,x_center,y_center,x,y,w,h
62,car,1,191.11331,665.5891,0.22662811,563.15186,381.77338,204.87457
62,truck,2,178.25665,405.4773,163.48988,388.21768,29.533539,34.519226
63,car,1,191.18228,665.38354,0.3645461,562.9238,381.63547,204.91943
63,truck,2,178.38449,404.93124,163.4632,387.47662,29.842606,34.90924
64,car,1,191.0,667.5366,0.0,564.0341,382.0,207.00494
64,truck,2,178.46454,404.3432,163.4036,386.6881,30.121902,35.31021
65,car,1,191.0,665.699,0.0,563.01373,382.0,205.37042
65,truck,2,178.4762,404.20163,163.36919,386.46793,30.214035,35.467407
66,car,1,191.16864,665.0817,0.3372814,562.623,381.66272,204.91748
66,truck,2,178.47307,404.0696,163.34503,386.28406,30.256073,35.571106
67,car,1,191.29276,664.536,0.5855108,562.278,381.4145,204.51599
67,truck,2,178.3916,404.4164,163.15216,386.52243,30.478867,35.787964
68,car,1,191.35016,664.526,1.2169255,562.6617,380.26648,203.72858
68,truck,2,178.10931,404.79773,162.7486,386.7796,30.72145,36.036224
69,car,1,191.32877,664.26526,2.0070877,562.9373,378.64337,202.65594
69,truck,2,177.88332,404.9662,162.48602,386.9203,30.794586,36.091797
70,car,1,191.37152,664.14886,1.8813136,562.7819,378.9804,202.73389
70,truck,2,177.81238,405.04572,162.36931,386.93335,30.886154,36.2247
71,car,1,191.3561,664.8523,1.4544209,563.293,379.80334,203.11853
71,truck,2,177.58745,405.08685,162.14578,386.97998,30.883331,36.213745
72,car,1,191.33852,665.1924,1.4944577,563.7122,379.6881,202.96039
72,truck,2,177.3789,405.25458,161.77202,386.98462,31.21379,36.539917
73,car,1,191.34023,664.7183,1.263025,563.13153,380.1544,203.17358
73,truck,2,177.22412,405.22778,161.48308,386.8578,31.48207,36.73999
74,car,1,191.37296,664.90625,1.5096232,563.4818,379.72665,202.84888
74,truck,2,177.04727,405.2262,161.21442,386.786,31.665726,36.88034
75,car,1,191.35379,664.7368,0.8575554,562.9607,380.99246,203.55225
75,truck,2,177.08258,404.9056,161.16048,386.3797,31.844223,37.05182
76,car,1,191.32236,664.34204,0.92754877,562.6358,380.7896,203.41254
76,truck,2,177.09338,404.45544,161.20111,386.03345,31.78453,36.844025
77,car,1,191.35672,663.7001,2.5655575,563.0011,377.58234,201.39801
77,truck,2,177.12491,403.9555,161.19386,385.55417,31.862106,36.802704
78,car,1,191.37737,663.56006,3.1281705,563.29297,376.49838,200.53424
78,truck,2,177.01518,403.42767,161.03383,384.99765,31.962708,36.860077
79,car,1,191.36734,663.4396,2.4668682,562.887,377.80093,201.10504
79,truck,2,176.8212,403.09937,160.78348,384.62723,32.07544,36.944275
